label,value
東部・南部アフリカ,82
西部・中部アフリカ,68
アジア・太平洋地域,75
中東・北アフリカ,71
東ヨーロッパ・中央アジア,64
中南米・カリブ海地域,78
西・中央ヨーロッパ・北米,95
