label,value
東部・南部アフリカ,79
西部・中部アフリカ,64
アジア・太平洋地域,71
中東・北アフリカ,67
東ヨーロッパ・中央アジア,60
中南米・カリブ海地域,75
西・中央ヨーロッパ・北米,93
